Sound Lvl ch.0 (V),Sound Lvl ch.1 (V)
-1.055604e+00,-1.035484e+00
-1.066555e+00,-1.039664e+00
-1.057451e+00,-1.037331e+00
-1.057516e+00,-1.036424e+00
-1.058682e+00,-1.036845e+00
-1.054341e+00,-1.034156e+00
-1.061501e+00,-1.039729e+00
-1.053272e+00,-1.033897e+00
-1.060335e+00,-1.036521e+00
-1.059816e+00,-1.038174e+00
-1.054827e+00,-1.035225e+00
-1.064320e+00,-1.039470e+00
-1.060853e+00,-1.040182e+00
-1.053952e+00,-1.035160e+00
-1.064676e+00,-1.040733e+00
-1.061501e+00,-1.040085e+00
-1.051360e+00,-1.034513e+00
-1.060659e+00,-1.038012e+00
-1.067430e+00,-1.043941e+00
-1.055572e+00,-1.037979e+00
-1.053596e+00,-1.033994e+00
-1.066134e+00,-1.039696e+00
-1.064190e+00,-1.040830e+00
-1.058650e+00,-1.038012e+00
-1.053531e+00,-1.034383e+00
-1.058196e+00,-1.035063e+00
-1.063899e+00,-1.039113e+00
-1.064028e+00,-1.041576e+00
-1.054827e+00,-1.036294e+00
-1.054632e+00,-1.033800e+00
-1.057581e+00,-1.034513e+00
-1.062019e+00,-1.037752e+00
-1.065907e+00,-1.041025e+00
-1.067430e+00,-1.046435e+00
-1.065843e+00,-1.045301e+00
-1.054017e+00,-1.037947e+00
-1.039826e+00,-1.025700e+00
-1.037914e+00,-1.020419e+00
-1.053693e+00,-1.027190e+00
-1.064125e+00,-1.035096e+00
-1.067430e+00,-1.043714e+00
-1.067430e+00,-1.055961e+00
-1.067430e+00,-1.057872e+00
-1.060011e+00,-1.046824e+00
-1.060011e+00,-1.042710e+00
-1.067430e+00,-1.047667e+00
-1.067430e+00,-1.054276e+00
-1.067430e+00,-1.060108e+00
-1.067430e+00,-1.058229e+00
-1.055734e+00,-1.045755e+00
-1.036748e+00,-1.027417e+00
-1.022719e+00,-1.012935e+00
-1.034707e+00,-1.012837e+00
-1.056090e+00,-1.024339e+00
-1.067430e+00,-1.043908e+00
-1.067430e+00,-1.060788e+00
-1.067430e+00,-1.067430e+00
-1.067430e+00,-1.067430e+00
-1.067430e+00,-1.063510e+00
-1.067430e+00,-1.065130e+00
-1.067430e+00,-1.066620e+00
-1.067430e+00,-1.065324e+00
-1.067430e+00,-1.061436e+00
-1.067430e+00,-1.054179e+00
-1.058942e+00,-1.043001e+00
-1.049319e+00,-1.032990e+00
-1.049675e+00,-1.030398e+00
-1.052818e+00,-1.032050e+00
-1.052915e+00,-1.032147e+00
-1.062765e+00,-1.037914e+00
-1.067430e+00,-1.044167e+00
-1.067430e+00,-1.045690e+00
-1.057030e+00,-1.038595e+00
-1.047213e+00,-1.029426e+00
-1.051457e+00,-1.031499e+00
-1.057678e+00,-1.036100e+00
-1.058812e+00,-1.036651e+00
-1.054794e+00,-1.033929e+00
-1.055248e+00,-1.034675e+00
-1.061890e+00,-1.039178e+00
-1.067430e+00,-1.047602e+00
-1.066458e+00,-1.043973e+00
-1.052624e+00,-1.035063e+00
-1.064061e+00,-1.041025e+00
-1.066102e+00,-1.043584e+00
-1.055313e+00,-1.037720e+00
-1.059168e+00,-1.038789e+00
-1.066102e+00,-1.043228e+00
-1.060626e+00,-1.039729e+00
-1.057354e+00,-1.038530e+00
-1.064190e+00,-1.041640e+00
-1.059006e+00,-1.037299e+00
-1.059298e+00,-1.039113e+00
-1.063542e+00,-1.040506e+00
-1.055831e+00,-1.036327e+00
-1.063477e+00,-1.039794e+00
-1.054632e+00,-1.034221e+00
-1.065097e+00,-1.039729e+00
-1.056252e+00,-1.035938e+00
-1.063283e+00,-1.039243e+00
-1.060011e+00,-1.039534e+00
-1.060497e+00,-1.040344e+00
