Sound Lvl ch.0 (V),Sound Lvl ch.1 (V)
-9.217631e-01,-9.030363e-01
-9.346904e-01,-9.077018e-01
-9.511492e-01,-9.197867e-01
-9.336536e-01,-9.167412e-01
-9.075074e-01,-8.978524e-01
-9.097753e-01,-8.905626e-01
-9.378655e-01,-9.021291e-01
-9.687096e-01,-9.279189e-01
-9.638497e-01,-9.352412e-01
-9.344312e-01,-9.239338e-01
-9.025503e-01,-8.995696e-01
-8.856055e-01,-8.796440e-01
-8.906598e-01,-8.725162e-01
-9.028419e-01,-8.749461e-01
-9.136957e-01,-8.818472e-01
-9.310293e-01,-8.933813e-01
-9.465485e-01,-9.066650e-01
-9.579854e-01,-9.179076e-01
-9.636553e-01,-9.284373e-01
-9.640765e-01,-9.326168e-01
-9.570135e-01,-9.288261e-01
-9.413322e-01,-9.168060e-01
-9.247114e-01,-9.045591e-01
-9.053690e-01,-8.862859e-01
-8.904654e-01,-8.720626e-01
-8.790608e-01,-8.594269e-01
-8.716414e-01,-8.523315e-01
-8.802920e-01,-8.569645e-01
-8.927657e-01,-8.691791e-01
-9.261046e-01,-8.946125e-01
-9.537087e-01,-9.198839e-01
-9.661501e-01,-9.322928e-01
-9.484601e-01,-9.247438e-01
-9.109093e-01,-9.001528e-01
-8.926361e-01,-8.826248e-01
-9.190091e-01,-8.957141e-01
-9.757078e-01,-9.342044e-01
-9.947262e-01,-9.522184e-01
-9.423690e-01,-9.236098e-01
-8.805188e-01,-8.798708e-01
-9.010599e-01,-8.842447e-01
-9.747359e-01,-9.286317e-01
-9.706536e-01,-9.333944e-01
-8.834023e-01,-8.832727e-01
-8.997964e-01,-8.886510e-01
-9.971562e-01,-9.436326e-01
-9.459977e-01,-9.208883e-01
-8.447824e-01,-8.610469e-01
-9.622622e-01,-9.212447e-01
-1.026315e+00,-9.628453e-01
-8.357106e-01,-8.604637e-01
-8.922149e-01,-8.837587e-01
-1.067430e+00,-9.846176e-01
-8.750757e-01,-8.846659e-01
-8.619540e-01,-8.702482e-01
-1.043617e+00,-9.625861e-01
-8.678507e-01,-8.779917e-01
-9.174540e-01,-9.017079e-01
-1.011930e+00,-9.499504e-01
-8.598805e-01,-8.757237e-01
-9.550695e-01,-9.190415e-01
-9.547131e-01,-9.218927e-01
-9.019023e-01,-8.954549e-01
-9.574671e-01,-9.209207e-01
-9.252622e-01,-9.061142e-01
-9.273681e-01,-9.076694e-01
-9.448313e-01,-9.144084e-01
-9.134689e-01,-9.004444e-01
-9.632341e-01,-9.248086e-01
-9.001852e-01,-8.954873e-01
-9.673488e-01,-9.257482e-01
-8.926037e-01,-8.910162e-01
-9.710748e-01,-9.271090e-01
-9.018699e-01,-8.963944e-01
-9.556203e-01,-9.195599e-01
-9.256186e-01,-9.089654e-01
-9.376387e-01,-9.116221e-01
-9.373471e-01,-9.137281e-01
-9.260722e-01,-9.078314e-01
-9.392587e-01,-9.103585e-01
-9.343016e-01,-9.133393e-01
-9.229942e-01,-9.024855e-01
-9.466781e-01,-9.166116e-01
-9.215363e-01,-9.057578e-01
-9.323900e-01,-9.078638e-01
-9.412026e-01,-9.139225e-01
-9.279837e-01,-9.096457e-01
-9.296361e-01,-9.073454e-01
-9.431466e-01,-9.162876e-01
-9.336860e-01,-9.120433e-01
-9.267202e-01,-9.071510e-01
-9.353708e-01,-9.101965e-01
-9.385459e-01,-9.129181e-01
-9.305757e-01,-9.107473e-01
-9.208883e-01,-9.030687e-01
-9.378007e-01,-9.090302e-01
-9.421422e-01,-9.152832e-01
-9.314181e-01,-9.116545e-01
-9.204995e-01,-9.011895e-01
-9.326492e-01,-9.051423e-01
-9.433410e-01,-9.146028e-01
-9.396475e-01,-9.156072e-01
-9.348200e-01,-9.133393e-01
-9.284373e-01,-9.089006e-01
-9.240958e-01,-9.043647e-01
-9.230266e-01,-9.022911e-01
-9.330056e-01,-9.061142e-01
-9.454793e-01,-9.138577e-01
-9.445398e-01,-9.175512e-01
-9.403926e-01,-9.180696e-01
-9.479417e-01,-9.230590e-01
-9.441834e-01,-9.213095e-01
-9.468077e-01,-9.247438e-01
-9.434058e-01,-9.228970e-01
-9.327140e-01,-9.170328e-01
-9.272061e-01,-9.118165e-01
-9.229618e-01,-9.062762e-01
-9.205643e-01,-9.046887e-01
-9.172272e-01,-9.019995e-01
-9.230590e-01,-9.042027e-01
-9.257158e-01,-9.067298e-01
-9.332648e-01,-9.123673e-01
-9.414294e-01,-9.198515e-01
-9.555231e-01,-9.307377e-01
-9.676080e-01,-9.401983e-01
-9.776842e-01,-9.462245e-01
-9.754811e-01,-9.464513e-01
-9.611282e-01,-9.334592e-01
